type,name,bloat,waste
table,public.achievements,2.0,96 MB
index,public.user_achievements::user_achievements_pkey,1.6,5288 kB
table,public.user_achievements,1.4,5240 kB
table,public.user_progress,1.8,2448 kB
table,public.leaderboard_cache,43.0,336 kB
table,public.games,1.1,224 kB
table,public.user_meta_achievements,4.0,72 kB
table,public.profiles,2.3,40 kB
index,public.user_meta_achievements::user_meta_achievements_user_id_achievement_id_key,2.5,24 kB
index,public.user_sync_history::idx_sync_history_user_platform_date,2.5,24 kB
table,public.psn_leaderboard_cache,3.0,16 kB
index,public.trophy_help_responses::idx_trophy_help_responses_pending,0.0,16 kB
index,public.flex_room_data::flex_room_data_pkey,2.0,8192 bytes
index,public.flex_room_data::idx_flex_room_data_profile_id,2.0,8192 bytes
index,public.game_groups_refresh_queue::game_groups_refresh_queue_pkey,2.0,8192 bytes
table,public.flex_room_data,2.0,8192 bytes
index,public.xbox_leaderboard_history::xbox_leaderboard_history_pkey,2.0,8192 bytes
index,public.leaderboard_cache::idx_leaderboard_cache_statusxp,2.0,8192 bytes
index,public.leaderboard_cache::leaderboard_cache_pkey,2.0,8192 bytes
index,public.achievement_comments::idx_achievement_comments_achievement_composite,2.0,8192 bytes
index,public.achievement_comments::idx_achievement_comments_created_at,2.0,8192 bytes
index,public.achievement_comments::idx_achievement_comments_user_id,2.0,8192 bytes
index,public.xbox_leaderboard_history::idx_xbox_leaderboard_history_user,2.0,8192 bytes
index,public.xbox_leaderboard_history::idx_xbox_leaderboard_history_snapshot,2.0,8192 bytes
index,public.platforms::idx_platforms_code,2.0,8192 bytes
index,public.platforms::platforms_code_key,2.0,8192 bytes
index,public.platforms::platforms_pkey,2.0,8192 bytes
index,public.achievement_comments::achievement_comments_pkey,2.0,8192 bytes
index,public.user_selected_title::user_selected_title_pkey,2.0,8192 bytes
index,public.user_premium_status::user_premium_status_pkey,2.0,8192 bytes
index,public.user_premium_status::idx_user_premium_status_user_id,2.0,8192 bytes
index,public.profiles::idx_profiles_steam,2.0,8192 bytes
index,public.user_ai_pack_purchases::user_ai_pack_purchases_pkey,2.0,8192 bytes
index,public.profiles::idx_profiles_twitch_user_id,2.0,8192 bytes
