query,total_exec_time,prop_exec_time,ncalls,sync_io_time
BEGIN,00:00:00.13928,0.0%,"122,944",00:00:00
"SELECT set_config($2, $1, $3)",00:00:01.190845,0.1%,"122,943",00:00:00
SET LOCAL statement_timeout TO '30000ms',00:00:00.701036,0.0%,"122,943",00:00:00
"SELECT
          set_config('role', $1, true),
          set_config('request.jwt.claim.role', $2, true),
          set_config('request.jwt', $3, true),
          set_config('request.jwt.claim.sub', $4, true),
          set_config('request.jwt.claims', $5, true),
          set_config('request.headers', $6, true),
          set_config('request.method', $7, true),
          set_config('request.path', $8, true),
          set_config('storage.operation', $9, true),
          set_config('storage.allow_delete_query', 'true', true)",00:00:02.997346,0.1%,"122,943",00:00:00
COMMIT,00:00:00.122801,0.0%,"86,292",00:00:00
"select set_config('search_path', $1, true), set_config('role', $2, true), set_config('request.jwt.claims', $3, true), set_config('request.method', $4, true), set_config('request.path', $5, true), set_config('request.headers', $6, true), set_config('request.cookies', $7, true)",00:00:01.383194,0.1%,"49,563",00:00:00
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",00:00:02.158679,0.1%,"37,602",00:00:00
ROLLBACK,00:00:00.04237,0.0%,"36,861",00:00:00
"select ""id"", ""file_size_limit"", ""allowed_mime_types"" from ""buckets"" where ""id"" = $1 limit $2",00:00:00.745144,0.0%,"36,859",00:00:00
"select ""id"", ""version"", ""metadata"" from ""objects"" where ""name"" = $1 and ""bucket_id"" = $2 limit $3 for update",00:00:01.255473,0.1%,"36,858",00:00:00
