name,size,percent_used,index_scans,seq_scans,unused
public.idx_achievements_statusxp,29 MB,0%,0,0,t
public.achievements_pkey,17 MB,100%,817086956,0,f
public.idx_achievements_rarity,14 MB,100%,8,0,f
public.user_achievements_pkey,14 MB,100%,3981811,0,f
public.idx_user_achievements_achievement,7584 kB,100%,21270,0,f
public.idx_user_achievements_v2_earned,4728 kB,100%,1,0,f
public.idx_user_achievements_earned_at,4728 kB,100%,10,0,f
public.idx_achievements_game,4112 kB,100%,4655309,0,f
public.idx_user_achievements_user,1808 kB,100%,12499,0,f
public.user_progress_pkey,960 kB,100%,3025,0,f
public.games_pkey,400 kB,100%,22090441,0,f
public.idx_user_progress_game,400 kB,100%,210,0,f
public.idx_user_progress_v2_score,328 kB,0%,0,0,t
public.idx_games_name,296 kB,100%,1,0,f
public.idx_games_name_lower,280 kB,100%,39,0,f
public.idx_user_progress_user,208 kB,100%,449,0,f
public.idx_user_progress_v2_platform,200 kB,100%,35,0,f
public.idx_game_groups_game_title_ids,176 kB,0%,0,0,t
public.idx_user_progress_completion,168 kB,0%,0,0,t
public.idx_games_platform_id,88 kB,100%,7,0,f
public.game_groups_pkey,64 kB,100%,2,0,f
public.idx_game_groups_primary_game_id,64 kB,0%,0,0,t
public.user_meta_achievements_user_id_achievement_id_key,40 kB,100%,6,0,f
public.idx_sync_history_user_platform_date,40 kB,100%,5192,0,f
public.idx_psn_leaderboard_history_user,32 kB,100%,73,0,f
public.psn_leaderboard_history_pkey,32 kB,100%,1,0,f
public.leaderboard_history_pkey,32 kB,100%,1,0,f
public.idx_leaderboard_history_user_snapshot,32 kB,100%,25,0,f
public.psn_sync_logs_pkey,16 kB,100%,35,0,f
public.idx_profiles_xbox,16 kB,0%,0,0,t
public.user_stat_snapshots_pkey,16 kB,100%,2,0,f
public.idx_user_ai_credits_user_id,16 kB,100%,9,0,f
public.idx_profiles_steam,16 kB,100%,1,0,f
public.idx_trophy_help_requests_platform,16 kB,0%,0,0,t
public.idx_profiles_show_on_leaderboard,16 kB,100%,1,0,f
public.idx_snapshots_cleanup,16 kB,0%,0,0,t
public.idx_profiles_psn_is_plus,16 kB,0%,0,0,t
public.user_ai_credits_pkey,16 kB,0%,0,0,t
public.idx_psn_leaderboard_cache_platinum,16 kB,0%,0,0,t
public.idx_activity_feed_expires,16 kB,100%,80,0,f
public.idx_achievement_comments_created_at,16 kB,0%,0,0,t
public.app_updates_pkey,16 kB,0%,0,0,t
public.idx_user_premium_status_source,16 kB,0%,0,0,t
public.idx_meta_achievements_category,16 kB,0%,0,0,t
public.idx_xbox_sync_logs_status,16 kB,100%,14,0,f
public.idx_trophy_help_responses_request_id,16 kB,0%,0,0,t
