name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.achievements,195 MB,64 MB,260 MB,227478,12
public.user_achievements,17 MB,33 MB,49 MB,141778,527
public.user_progress,5592 kB,2384 kB,7976 kB,9224,275
public.games,2136 kB,1112 kB,3248 kB,6425,122475
public.game_groups,328 kB,328 kB,656 kB,2125,3
public.profiles,352 kB,280 kB,632 kB,38,432
public.leaderboard_cache,384 kB,32 kB,416 kB,49,5
public.user_meta_achievements,128 kB,88 kB,216 kB,268,5
public.xbox_sync_logs,88 kB,64 kB,152 kB,327,5
public.psn_sync_logs,88 kB,64 kB,152 kB,326,5
public.trophy_help_requests,16 kB,128 kB,144 kB,2,18
public.steam_sync_logs,72 kB,64 kB,136 kB,186,5
public.leaderboard_history,48 kB,80 kB,128 kB,230,3
public.psn_leaderboard_history,40 kB,80 kB,120 kB,230,3
public.user_sync_history,56 kB,56 kB,112 kB,245,394
public.activity_feed,16 kB,96 kB,112 kB,10,9
public.trophy_help_responses,16 kB,80 kB,96 kB,3,9
public.xbox_leaderboard_history,40 kB,48 kB,88 kB,151,3
public.meta_achievements,56 kB,32 kB,88 kB,133,9
public.flex_room_data,48 kB,32 kB,80 kB,3,23
public.user_stat_snapshots,16 kB,64 kB,80 kB,24,5
public.achievement_comments,16 kB,64 kB,80 kB,7,12
public.activity_feed_views,40 kB,32 kB,72 kB,9,64
public.user_ai_daily_usage,16 kB,48 kB,64 kB,20,9
public.platforms,16 kB,48 kB,64 kB,9,1269
public.user_premium_status,16 kB,48 kB,64 kB,5,13490
public.steam_leaderboard_history,8192 bytes,48 kB,56 kB,77,22
public.trophy_room_items,8192 bytes,40 kB,48 kB,0,7
public.app_updates,16 kB,32 kB,48 kB,8,5
public.user_ai_credits,8192 bytes,32 kB,40 kB,2,757
public.user_ai_pack_purchases,8192 bytes,32 kB,40 kB,1,7
public.profile_themes,8192 bytes,24 kB,32 kB,0,6
public.user_selected_title,16 kB,16 kB,32 kB,3,30
public.trophy_room_shelves,8192 bytes,16 kB,24 kB,0,5
public.psn_user_trophy_profile,8192 bytes,16 kB,24 kB,25,4
public.game_groups_refresh_queue,8192 bytes,16 kB,24 kB,1,2
public.user_profile_settings,8192 bytes,8192 bytes,16 kB,0,7
public.user_stats,0 bytes,8192 bytes,8192 bytes,0,7
