schemaname,table_name,blocks_read,write_tuples,blocks_write,activity_ratio
storage,objects,437098,73716,42559.6858838859,1:10.3 (Read-Heavy)
public,achievements,129854,49407,5429.14966779089,1:23.9 (Read-Heavy)
public,user_achievements,25584,15371,229.183065182246,1:111.6 (Read-Heavy)
public,leaderboard_cache,651,17255,15142.1428571429,23.3:1 (Write-Heavy)
public,user_progress,5237,894,69.7510961214165,1:75.1 (Read-Heavy)
public,profiles,224,4650,1101.31578947368,4.9:1 (Write-Heavy)
auth,refresh_tokens,1293,1348,31.0550566185084,1:41.6 (Read-Heavy)
public,games,1016,3875,157.46146660439,1:6.5 (Read-Heavy)
public,psn_leaderboard_cache,62,7736,828.857142857143,13.4:1 (Write-Heavy)
auth,users,187,340,47.2222222222222,0.3:1 (Write-Heavy)
auth,sessions,137,259,4.46551724137931,1:30.7 (Read-Heavy)
public,xbox_sync_logs,93,39,0.740506329113924,1:125.6 (Read-Heavy)
public,psn_sync_logs,90,57,1.12131147540984,1:80.3 (Read-Heavy)
public,user_meta_achievements,85,38,1.92405063291139,1:44.2 (Read-Heavy)
auth,mfa_amr_claims,79,67,0.920962199312715,1:85.8 (Read-Heavy)
auth,identities,76,17,1.25,1:60.8 (Read-Heavy)
auth,flow_state,71,30,1.10294117647059,1:64.4 (Read-Heavy)
public,activity_feed,70,12,-0,Read-Only
public,user_sync_history,63,22,0.295964125560538,1:212.9 (Read-Heavy)
public,leaderboard_history,62,107,1.05940594059406,1:58.5 (Read-Heavy)
public,steam_sync_logs,61,18,0.301675977653631,1:202.2 (Read-Heavy)
public,user_stat_snapshots,57,44,-0,Read-Only
supabase_migrations,schema_migrations,54,2,0.375,1:144.0 (Read-Heavy)
public,psn_leaderboard_history,50,107,1.05940594059406,1:47.2 (Read-Heavy)
public,xbox_leaderboard_history,41,69,0.913907284768212,1:44.9 (Read-Heavy)
public,activity_feed_views,33,71,8.875,0.3:1 (Write-Heavy)
public,flex_room_data,33,5,5,1:6.6 (Read-Heavy)
public,steam_leaderboard_history,37,37,0.925,1:40.0 (Read-Heavy)
auth,one_time_tokens,31,6,6,1:5.2 (Read-Heavy)
public,user_ai_daily_usage,31,4,0.222222222222222,1:139.5 (Read-Heavy)
public,user_premium_status,18,2,0.5,1:36.0 (Read-Heavy)
public,psn_user_trophy_profile,14,5,0.217391304347826,1:64.4 (Read-Heavy)
storage,migrations,14,2,0.0714285714285714,1:196.0 (Read-Heavy)
