name,index,index_size,index_scans
public.achievements,idx_achievements_statusxp,29 MB,0
public.user_progress,idx_user_progress_v2_score,328 kB,0
public.game_groups,idx_game_groups_game_title_ids,176 kB,0
public.user_progress,idx_user_progress_completion,168 kB,0
public.game_groups,idx_game_groups_primary_game_id,64 kB,0
public.profiles,idx_profiles_psn_account_id,16 kB,0
public.profiles,idx_profiles_psn_is_plus,16 kB,0
public.profiles,idx_profiles_username,16 kB,0
public.profiles,idx_profiles_leaderboard,16 kB,0
public.profiles,idx_profiles_last_xbox_sync,16 kB,0
public.profiles,idx_profiles_xbox,16 kB,0
public.user_achievements,idx_user_achievements_v2_earned,4728 kB,1
public.achievements,idx_achievements_rarity,14 MB,8
public.user_achievements,idx_user_achievements_earned_at,4728 kB,10
public.games,idx_games_name,296 kB,1
public.profiles,idx_profiles_steam,16 kB,1
public.profiles,idx_profiles_show_on_leaderboard,16 kB,1
public.games,idx_games_platform_id,88 kB,7
public.games,idx_games_name_lower,280 kB,39
public.user_progress,idx_user_progress_v2_platform,200 kB,35
public.profiles,idx_profiles_twitch_user_id,16 kB,4
public.profiles,idx_profiles_merged_into,8192 bytes,2
public.psn_sync_logs,idx_psn_sync_logs_started_at,16 kB,5
public.psn_sync_logs,idx_psn_sync_logs_user_id,16 kB,5
public.profiles,idx_profiles_psn,16 kB,5
public.profiles,idx_profiles_subscription_tier,16 kB,6
public.user_meta_achievements,idx_user_meta_achievements_achievement_id,16 kB,7
public.xbox_sync_logs,idx_xbox_sync_logs_status,16 kB,14
public.profiles,idx_profiles_xbox_xuid,16 kB,14
public.psn_sync_logs,idx_psn_sync_logs_status,16 kB,17
public.profiles,idx_profiles_steam_sync_status,16 kB,41
public.leaderboard_cache,idx_leaderboard_cache_statusxp,16 kB,41
public.profiles,idx_profiles_xbox_sync_status,16 kB,42
public.user_meta_achievements,idx_user_meta_achievements_user_id,16 kB,42
public.profiles,idx_profiles_psn_sync_status,16 kB,45
